annee;code_commune;nom_commune;nb_etablissements;effectifs_salaries
2017;69120;Longessaigne;11.0;44.0
2017;69121;Lozanne;108.0;807.0
2017;69122;Lucenay;35.0;140.0
2017;69124;Marchampt;2.0;11.0
2017;69125;Marcilly-d'Azergues;49.0;275.0
2017;69126;Marcy;13.0;32.0
2017;69127;Marcy-l'Étoile;80.0;6208.0
2017;69130;Meaux-la-Montagne;3.0;14.0
2017;69131;Messimy;97.0;1621.0
2017;69132;Meys;15.0;212.0
2017;69133;Millery;124.0;617.0
2017;69134;Moiré;1.0;6.0
2017;69135;Deux-Grosnes;37.0;451.0
2017;69136;Montagny;95.0;932.0
2017;69137;Montmelas-Saint-Sorlin;3.0;55.0
2017;69138;Montromant;3.0;8.0
2017;69139;Montrottier;32.0;268.0
2017;69140;Morancé;39.0;280.0
2017;69141;Mornant;244.0;1946.0
2017;69142;La Mulatière;114.0;1090.0
2017;69143;Neuville-sur-Saône;272.0;2080.0
2017;69145;Odenas;8.0;48.0
2017;69148;Orliénas;38.0;95.0
2017;69149;Oullins-Pierre-Bénite;757.0;8400.0
2017;69151;Le Perréon;25.0;84.0
2017;69152;Pierre-Bénite;83.0;1215.0
2017;69153;Poleymieux-au-Mont-d'Or;15.0;30.0
2017;69154;Pollionnay;31.0;234.0
2017;69155;Pomeys;19.0;54.0
2017;69156;Pommiers;47.0;414.0
2017;69157;Vindry-sur-Turdine;134.0;1236.0
2017;69159;Porte des Pierres Dorées;72.0;252.0
2017;69160;Poule-les-Écharmeaux;26.0;86.0
2017;69161;Propières;13.0;95.0
2017;69162;Quincié-en-Beaujolais;43.0;281.0
2017;69163;Quincieux;96.0;837.0
2017;69164;Ranchal;6.0;10.0
2017;69165;Régnié-Durette;19.0;66.0
2017;69166;Riverie;4.0;41.0
2017;69167;Rivolet;9.0;11.0
2017;69168;Rochetaillée-sur-Saône;33.0;189.0
2017;69169;Ronno;10.0;33.0
2017;69170;Rontalon;13.0;40.0
2017;69171;Sain-Bel;65.0;474.0
2017;69172;Salles-Arbuissonnas-en-Beaujolais;10.0;58.0
2017;69173;Sarcey;29.0;203.0
2017;69174;Les Sauvages;17.0;192.0
2017;69175;Savigny;72.0;1246.0
2017;69176;Soucieu-en-Jarrest;66.0;318.0
2017;69177;Sourcieux-les-Mines;25.0;61.0
2017;69178;Souzy;19.0;153.0
2017;69179;Beauvallon;69.0;519.0
2017;69180;Saint-André-la-Côte;4.0;10.0
2017;69181;Saint-Appolinaire;2.0;4.0
2017;69182;Saint-Bonnet-des-Bruyères;8.0;31.0
2017;69184;Sainte-Catherine;15.0;37.0
2017;69186;Saint-Clément-de-Vers;6.0;24.0
2017;69187;Saint-Clément-les-Places;11.0;29.0
2017;69188;Saint-Clément-sur-Valsonne;10.0;131.0
2017;69189;Sainte-Colombe;58.0;437.0
2017;69190;Sainte-Consorce;60.0;576.0
2017;69191;Saint-Cyr-au-Mont-d'Or;141.0;1406.0
2017;69192;Saint-Cyr-le-Chatoux;4.0;4.0
2017;69193;Saint-Cyr-sur-le-Rhône;19.0;113.0
2017;69194;Saint-Didier-au-Mont-d'Or;254.0;2163.0
2017;69196;Saint-Didier-sur-Beaujeu;19.0;45.0
2017;69197;Saint-Étienne-des-Oullières;54.0;186.0
2017;69198;Saint-Étienne-la-Varenne;6.0;8.0
2017;69199;Saint-Fons;406.0;5635.0
2017;69200;Saint-Forgeux;37.0;257.0
2017;69201;Sainte-Foy-l'Argentière;60.0;645.0
2017;69202;Sainte-Foy-lès-Lyon;489.0;3427.0
2017;69203;Saint-Genis-l'Argentière;17.0;136.0
2017;69204;Saint-Genis-Laval;604.0;7825.0
2017;69205;Saint-Genis-les-Ollières;87.0;716.0
2017;69206;Saint-Georges-de-Reneins;143.0;1194.0
2017;69207;Saint-Germain-au-Mont-d'Or;49.0;327.0
2017;69208;Saint-Germain-Nuelles;43.0;882.0
2017;69209;Saint-Igny-de-Vers;18.0;145.0
2017;69212;Saint-Jean-des-Vignes;5.0;14.0
2017;69214;Saint-Jean-la-Bussière;24.0;198.0
2017;69215;Saint-Julien;14.0;39.0
2017;69216;Saint-Julien-sur-Bibost;14.0;25.0
2017;69217;Saint-Just-d'Avray;19.0;61.0
2017;69218;Saint-Lager;29.0;208.0
2017;69219;Saint-Laurent-d'Agny;51.0;388.0
2017;69220;Saint-Laurent-de-Chamousset;70.0;625.0
2017;69225;Saint-Marcel-l'Éclairé;6.0;41.0
2017;69227;Saint-Martin-en-Haut;129.0;1093.0
2017;69228;Chabanière;63.0;598.0
2017;69229;Saint-Nizier-d'Azergues;16.0;84.0
2017;69230;Sainte-Paule;5.0;11.0
2017;69231;Saint-Pierre-la-Palud;34.0;253.0
2017;69233;Saint-Romain-au-Mont-d'Or;29.0;156.0
2017;69234;Saint-Romain-de-Popey;45.0;290.0
2017;69235;Saint-Romain-en-Gal;59.0;404.0
2017;69236;Saint-Romain-en-Gier;6.0;30.0
2017;69238;Saint-Symphorien-sur-Coise;147.0;1437.0
2017;69239;Saint-Vérand;17.0;68.0
2017;69240;Saint-Vincent-de-Reins;12.0;186.0
2017;69241;Taluyers;95.0;572.0
2017;69242;Taponas;20.0;223.0
2017;69243;Tarare;333.0;3133.0
2017;69244;Tassin-la-Demi-Lune;628.0;4503.0
2017;69245;Ternand;21.0;91.0
2017;69246;Theizé;37.0;129.0
2017;69248;Thizy-les-Bourgs;147.0;1617.0
2017;69249;Thurins;62.0;320.0
2017;69250;La Tour-de-Salvagny;114.0;1103.0
2017;69252;Trèves;10.0;22.0
2017;69253;Tupin-et-Semons;8.0;41.0
2017;69254;Valsonne;16.0;67.0
2017;69255;Vaugneray;148.0;1224.0
2017;69256;Vaulx-en-Velin;1397.0;17134.0
2017;69257;Vaux-en-Beaujolais;7.0;20.0
2017;69258;Vauxrenard;3.0;4.0
2017;69259;Vénissieux;1380.0;23896.0
2017;69260;Vernaison;92.0;723.0
2017;69261;Vernay;1.0;17.0
2017;69263;Villechenève;15.0;176.0
2017;69264;Villefranche-sur-Saône;1467.0;13898.0
2017;69265;Ville-sur-Jarnioux;14.0;22.0
2017;69266;Villeurbanne;3753.0;46091.0
2017;69267;Villié-Morgon;66.0;191.0
2017;69268;Vourles;154.0;1557.0
2017;69269;Yzeron;23.0;63.0
2017;69270;Chaponnay;200.0;4552.0
2017;69271;Chassieu;666.0;7731.0
2017;69272;Communay;65.0;644.0
2017;69273;Corbas;494.0;9748.0
2017;69275;Décines-Charpieu;876.0;9135.0
2017;69276;Feyzin;225.0;3834.0
2017;69277;Genas;572.0;8401.0
2017;69278;Genay;218.0;3123.0
2017;69279;Jonage;167.0;2969.0
2017;69280;Jons;43.0;193.0
2017;69281;Marennes;53.0;444.0
2017;69282;Meyzieu;810.0;12117.0
2017;69283;Mions;377.0;4141.0
2017;69284;Montanay;66.0;551.0
2017;69285;Pusignan;196.0;2833.0
2017;69286;Rillieux-la-Pape;728.0;9045.0
2017;69287;Saint-Bonnet-de-Mure;313.0;2893.0
2017;69288;Saint-Laurent-de-Mure;197.0;2173.0
2017;69289;Saint-Pierre-de-Chandieu;158.0;1805.0
2017;69290;Saint-Priest;1861.0;37813.0
2017;69291;Saint-Symphorien-d'Ozon;183.0;2114.0
2017;69292;Sathonay-Camp;93.0;422.0
2017;69293;Sathonay-Village;31.0;135.0
2017;69294;Sérézin-du-Rhône;80.0;873.0
2017;69295;Simandres;19.0;43.0
2017;69296;Solaize;69.0;1994.0
2017;69297;Ternay;117.0;968.0
2017;69298;Toussieu;89.0;1204.0
2017;69299;Colombier-Saugnieu;212.0;5577.0
2017;69381;Lyon 81e Arrondissement;1612.0;9285.0
2017;69382;Lyon 82e Arrondissement;3739.0;33886.0
2017;69383;Lyon 83e Arrondissement;4531.0;70976.0
2017;69384;Lyon 84e Arrondissement;1155.0;6186.0
2017;69385;Lyon 85e Arrondissement;1067.0;8675.0
2017;69386;Lyon 86e Arrondissement;3619.0;32214.0
2017;69387;Lyon 87e Arrondissement;3031.0;43077.0
2017;69388;Lyon 88e Arrondissement;1588.0;19575.0
2017;69389;Lyon 89e Arrondissement;2032.0;27383.0
2022;69001;Affoux;6.0;7.0
2022;69002;Aigueperse;3.0;6.0
2022;69003;Albigny-sur-Saône;50.0;244.0
2022;69004;Alix;9.0;11.0
2022;69005;Ambérieux;41.0;763.0
2022;69006;Amplepuis;152.0;1400.0
2022;69007;Ampuis;89.0;545.0
2022;69008;Ancy;4.0;5.0
2022;69009;Anse;223.0;1468.0
2022;69010;L'Arbresle;253.0;2281.0
2022;69012;Les Ardillats;10.0;28.0
2022;69013;Arnas;277.0;3895.0
2022;69014;Aveize;19.0;429.0
2022;69016;Azolette;1.0;1.0
2022;69017;Bagnols;23.0;51.0
2022;69018;Beaujeu;64.0;424.0
2022;69019;Belleville-en-Beaujolais;530.0;5377.0
2022;69020;Belmont-d'Azergues;8.0;24.0
2022;69021;Bessenay;51.0;277.0
2022;69022;Bibost;8.0;12.0
2022;69023;Blacé;39.0;145.0
2022;69024;Val d'Oingt;121.0;566.0
2022;69026;Le Breuil;7.0;35.0
2022;69027;Brignais;760.0;8589.0
2022;69028;Brindas;181.0;974.0
2022;69029;Bron;1115.0;15169.0
2022;69030;Brullioles;16.0;45.0
2022;69031;Brussieu;24.0;103.0
2022;69032;Bully;64.0;482.0
2022;69033;Cailloux-sur-Fontaines;102.0;575.0
2022;69034;Caluire-et-Cuire;1085.0;10465.0
2022;69035;Cenves;7.0;12.0
2022;69036;Cercié;33.0;119.0
2022;69037;Chambost-Allières;13.0;169.0
2022;69038;Chambost-Longessaigne;15.0;45.0
2022;69039;Chamelet;11.0;59.0
2022;69040;Champagne-au-Mont-d'Or;397.0;4717.0
2022;69042;La Chapelle-sur-Coise;8.0;12.0
2022;69043;Chaponost;371.0;3898.0
2022;69044;Charbonnières-les-Bains;209.0;1684.0
2022;69045;Charentay;18.0;43.0
2022;69046;Charly;90.0;394.0
2022;69047;Charnay;30.0;114.0
2022;69049;Chasselay;72.0;277.0
2022;69050;Châtillon;69.0;322.0
2022;69051;Chaussan;7.0;11.0
