annee;code_commune;nom_commune;nb_menages_fiscaux;nb_personnes_menages_fiscaux;revenu_median
2012;69294;Sérézin-du-Rhône;1059.0;2702.5;23839.6
2012;69295;Simandres;621.0;1682.0;24067.8
2012;69296;Solaize;1107.0;2994.5;25242.6
2012;69297;Ternay;2004.0;5431.0;23565.2
2012;69298;Toussieu;924.0;2562.5;25371.9
2012;69299;Colombier-Saugnieu;851.0;2346.0;23563.8
2012;69381;Lyon 1er Arrondissement;13962.0;26660.0;21572.5
2012;69382;Lyon 2e Arrondissement;13087.0;25928.5;24819.8
2012;69383;Lyon 3e Arrondissement;44653.0;90350.5;22871.0
2012;69384;Lyon 4e Arrondissement;17000.0;34880.0;23854.0
2012;69385;Lyon 5e Arrondissement;19955.0;41844.0;22494.0
2012;69386;Lyon 6e Arrondissement;23850.0;47945.0;28305.8
2012;69387;Lyon 7e Arrondissement;32784.0;64136.5;20664.0
2012;69388;Lyon 8e Arrondissement;34691.0;73091.0;18518.0
2012;69389;Lyon 9e Arrondissement;21205.0;46769.0;18576.0
2017;69001;Affoux;136.0;383.0;22610.0
2017;69002;Aigueperse;115.0;242.0;19550.0
2017;69003;Albigny-sur-Saône;972.0;2326.0;23390.0
2017;69004;Alix;253.0;693.0;25360.0
2017;69005;Ambérieux;209.0;580.0;25820.0
2017;69006;Amplepuis;2095.0;4621.0;19180.0
2017;69007;Ampuis;1131.0;2656.0;24550.0
2017;69008;Ancy;250.0;688.0;22710.0
2017;69009;Anse;2746.0;7133.0;23110.0
2017;69010;L'Arbresle;2618.0;6133.0;21320.0
2017;69012;Les Ardillats;242.0;612.0;21320.0
2017;69013;Arnas;1466.0;3778.0;23160.0
2017;69014;Aveize;382.0;998.0;21360.0
2017;69016;Azolette;47.0;123.0;18540.0
2017;69017;Bagnols;303.0;793.0;25770.0
2017;69018;Beaujeu;864.0;1796.0;19700.0
2017;69019;Belleville-en-Beaujolais;5212.0;12372.0;20450.0
2017;69020;Belmont-d'Azergues;240.0;661.0;24540.0
2017;69021;Bessenay;923.0;2293.0;22910.0
2017;69022;Bibost;206.0;536.0;23770.0
2017;69023;Blacé;602.0;1564.0;24110.0
2017;69024;Val d'Oingt;1695.0;4100.0;24050.0
2017;69026;Le Breuil;181.0;504.0;23630.0
2017;69027;Brignais;4806.0;11725.0;24490.0
2017;69028;Brindas;2392.0;6369.0;27320.0
2017;69029;Bron;16494.0;38640.0;20110.0
2017;69030;Brullioles;321.0;819.0;23180.0
2017;69031;Brussieu;507.0;1400.0;22910.0
2017;69032;Bully;787.0;1994.0;24770.0
2017;69033;Cailloux-sur-Fontaines;1030.0;2822.0;31460.0
2017;69034;Caluire-et-Cuire;19219.0;41740.0;25010.0
2017;69035;Cenves;161.0;396.0;22490.0
2017;69036;Cercié;423.0;1104.0;22280.0
2017;69037;Chambost-Allières;327.0;791.0;20970.0
2017;69038;Chambost-Longessaigne;379.0;938.0;20160.0
2017;69039;Chamelet;287.0;698.0;21410.0
2017;69040;Champagne-au-Mont-d'Or;2479.0;5643.0;25510.0
2017;69042;La Chapelle-sur-Coise;206.0;592.0;22180.0
2017;69043;Chaponost;3485.0;8968.0;28660.0
2017;69044;Charbonnières-les-Bains;2124.0;5264.0;34680.0
2017;69045;Charentay;488.0;1238.0;22680.0
2017;69046;Charly;1756.0;4738.0;31190.0
2017;69047;Charnay;393.0;974.0;29270.0
2017;69049;Chasselay;1058.0;2730.0;29760.0
2017;69050;Châtillon;884.0;2235.0;25960.0
2017;69051;Chaussan;423.0;1167.0;23480.0
2017;69052;Chazay-d'Azergues;1646.0;4221.0;28460.0
2017;69053;Chénas;202.0;510.0;23190.0
2017;69054;Chénelette;164.0;348.0;22110.0
2017;69055;Les Chères;560.0;1462.0;25450.0
2017;69056;Chessy;758.0;2049.0;24270.0
2017;69057;Chevinay;222.0;586.0;25280.0
2017;69058;Chiroubles;161.0;383.0;20650.0
2017;69059;Civrieux-d'Azergues;576.0;1457.0;26040.0
2017;69060;Claveisolles;242.0;573.0;20180.0
2017;69061;Cogny;485.0;1240.0;25400.0
2017;69062;Coise;297.0;782.0;20360.0
2017;69063;Collonges-au-Mont-d'Or;1743.0;4455.0;32080.0
2017;69064;Condrieu;1637.0;3570.0;22110.0
2017;69065;Corcelles-en-Beaujolais;359.0;932.0;22940.0
2017;69066;Cours;2012.0;4250.0;19930.0
2017;69067;Courzieu;474.0;1118.0;21140.0
2017;69068;Couzon-au-Mont-d'Or;992.0;2390.0;25450.0
2017;69069;Craponne;4877.0;11484.0;25200.0
2017;69070;Cublize;515.0;1221.0;21070.0
2017;69071;Curis-au-Mont-d'Or;425.0;1128.0;30270.0
2017;69072;Dardilly;3167.0;8537.0;30510.0
2017;69074;Denicé;607.0;1618.0;25500.0
2017;69075;Dième;66.0;197.0;22650.0
2017;69076;Dommartin;956.0;2651.0;31560.0
2017;69077;Dracé;350.0;949.0;23250.0
2017;69078;Duerne;318.0;849.0;21640.0
2017;69080;Échalas;656.0;1749.0;23770.0
2017;69081;Écully;6779.0;16084.0;27610.0
2017;69082;Émeringes;109.0;263.0;22100.0
2017;69083;Éveux;426.0;1138.0;27510.0
2017;69084;Fleurie;543.0;1264.0;21250.0
2017;69085;Fleurieu-sur-Saône;543.0;1419.0;27880.0
2017;69086;Fleurieux-sur-l'Arbresle;914.0;2435.0;26980.0
2017;69087;Fontaines-Saint-Martin;1078.0;2853.0;30570.0
2017;69088;Fontaines-sur-Saône;3103.0;7017.0;23160.0
2017;69089;Francheville;5658.0;14018.0;25960.0
2017;69090;Frontenas;311.0;841.0;25630.0
2017;69091;Givors;7548.0;18886.0;16790.0
2017;69092;Gleizé;3017.0;7414.0;21840.0
2017;69093;Grandris;487.0;1061.0;19480.0
2017;69094;Grézieu-la-Varenne;2435.0;6046.0;25380.0
2017;69095;Grézieu-le-Marché;315.0;815.0;21120.0
2017;69096;Grigny;3691.0;9278.0;19900.0
2017;69097;Les Haies;289.0;769.0;22350.0
2017;69098;Les Halles;170.0;449.0;19980.0
2017;69099;Haute-Rivoire;530.0;1297.0;20200.0
2017;69100;Irigny;3419.0;8750.0;23610.0
2017;69102;Joux;285.0;757.0;20560.0
2017;69103;Juliénas;370.0;868.0;22180.0
2017;69104;Jullié;192.0;422.0;20190.0
2017;69105;Lacenas;400.0;1023.0;25170.0
2017;69106;Lachassagne;428.0;1171.0;29920.0
2017;69107;Lamure-sur-Azergues;438.0;1014.0;20880.0
2017;69108;Lancié;408.0;1057.0;22350.0
2017;69109;Lantignié;345.0;890.0;22080.0
2017;69110;Larajasse;688.0;1744.0;21270.0
2017;69111;Légny;243.0;662.0;26280.0
2017;69112;Lentilly;2458.0;6259.0;27310.0
2017;69113;Létra;315.0;816.0;21860.0
2017;69115;Limas;1875.0;4829.0;23590.0
2017;69116;Limonest;1412.0;3644.0;29990.0
2017;69117;Lissieu;1127.0;3092.0;30890.0
2017;69118;Loire-sur-Rhône;1040.0;2641.0;22990.0
2017;69119;Longes;360.0;933.0;22260.0
2017;69120;Longessaigne;236.0;600.0;19680.0
2017;69121;Lozanne;1122.0;2743.0;25160.0
2017;69122;Lucenay;675.0;1810.0;26390.0
2017;69123;Lyon;226384.0;458268.0;23250.0
2017;69124;Marchampt;208.0;474.0;21010.0
2017;69125;Marcilly-d'Azergues;365.0;881.0;28640.0
2017;69126;Marcy;273.0;744.0;28290.0
2017;69127;Marcy-l'Étoile;1238.0;3314.0;28090.0
2017;69130;Meaux-la-Montagne;84.0;196.0;20010.0
2017;69131;Messimy;1310.0;3330.0;24680.0
2017;69132;Meys;309.0;812.0;20630.0
2017;69133;Millery;1738.0;4468.0;28300.0
2017;69134;Moiré;89.0;229.0;28000.0
2017;69135;Deux-Grosnes;795.0;1800.0;19250.0
2017;69136;Montagny;1204.0;3205.0;25810.0
2017;69137;Montmelas-Saint-Sorlin;150.0;414.0;23740.0
2017;69138;Montromant;174.0;458.0;21240.0
2017;69139;Montrottier;610.0;1481.0;21130.0
2017;69140;Morancé;792.0;2114.0;27570.0
2017;69141;Mornant;2514.0;6082.0;24600.0
2017;69142;La Mulatière;3086.0;6477.0;20820.0
2017;69143;Neuville-sur-Saône;3449.0;7482.0;21250.0
2017;69145;Odenas;357.0;894.0;21990.0
2017;69148;Orliénas;956.0;2516.0;27050.0
2017;69149;Oullins;12136.0;25856.0;21630.0
2017;69151;Le Perréon;570.0;1486.0;22700.0
2017;69152;Pierre-Bénite;4199.0;10138.0;19480.0
2017;69153;Poleymieux-au-Mont-d'Or;398.0;1071.0;33170.0
2017;69154;Pollionnay;958.0;2512.0;25980.0
2017;69155;Pomeys;435.0;1176.0;23280.0
