annee;code_commune;nom_commune;population
2013;69254;Valsonne;899.0
2013;69255;Vaugneray;5207.0
2013;69256;Vaulx-en-Velin;44087.0
2013;69257;Vaux-en-Beaujolais;1060.0
2013;69258;Vauxrenard;315.0
2013;69259;Vénissieux;61636.0
2013;69260;Vernaison;4582.0
2013;69261;Vernay;107.0
2013;69263;Villechenève;893.0
2013;69264;Villefranche-sur-Saône;36531.0
2013;69265;Ville-sur-Jarnioux;806.0
2013;69266;Villeurbanne;147192.0
2013;69267;Villié-Morgon;2048.0
2013;69268;Vourles;3207.0
2013;69269;Yzeron;1015.0
2013;69270;Chaponnay;3869.0
2013;69271;Chassieu;9837.0
2013;69272;Communay;4128.0
2013;69273;Corbas;10968.0
2013;69275;Décines-Charpieu;26826.0
2013;69276;Feyzin;9377.0
2013;69277;Genas;12341.0
2013;69278;Genay;5251.0
2013;69279;Jonage;5843.0
2013;69280;Jons;1389.0
2013;69281;Marennes;1552.0
2013;69282;Meyzieu;31438.0
2013;69283;Mions;12485.0
2013;69284;Montanay;2934.0
2013;69285;Pusignan;3756.0
2013;69286;Rillieux-la-Pape;30645.0
2013;69287;Saint-Bonnet-de-Mure;6818.0
2013;69288;Saint-Laurent-de-Mure;5361.0
2013;69289;Saint-Pierre-de-Chandieu;4615.0
2013;69290;Saint-Priest;42950.0
2013;69291;Saint-Symphorien-d'Ozon;5503.0
2013;69292;Sathonay-Camp;4715.0
2013;69293;Sathonay-Village;2326.0
2013;69294;Sérézin-du-Rhône;2632.0
2013;69295;Simandres;1691.0
2013;69296;Solaize;2990.0
2013;69297;Ternay;5382.0
2013;69298;Toussieu;2542.0
2013;69299;Colombier-Saugnieu;2505.0
2013;69381;Lyon 1er Arrondissement;29313.0
2013;69382;Lyon 2e  Arrondissement;30804.0
2013;69383;Lyon 3e  Arrondissement;98956.0
2013;69384;Lyon 4e  Arrondissement;36336.0
2013;69385;Lyon 5e  Arrondissement;46630.0
2013;69386;Lyon 6e  Arrondissement;50364.0
2013;69387;Lyon 7e  Arrondissement;77855.0
2013;69388;Lyon 8e  Arrondissement;81531.0
2013;69389;Lyon 9e  Arrondissement;48926.0
2017;69001;Affoux;369.0
2017;69002;Aigueperse;248.0
2017;69003;Albigny-sur-Saône;2880.0
2017;69004;Alix;763.0
2017;69005;Ambérieux;578.0
2017;69006;Amplepuis;4976.0
2017;69007;Ampuis;2713.0
2017;69008;Ancy;640.0
2017;69009;Anse;7178.0
2017;69010;L' Arbresle;6398.0
2017;69012;Les Ardillats;622.0
2017;69013;Arnas;3778.0
2017;69014;Aveize;1127.0
2017;69016;Azolette;120.0
2017;69017;Bagnols;731.0
2017;69018;Beaujeu;2157.0
2017;69019;Belleville;12971.0
2017;69020;Belmont-d'Azergues;631.0
2017;69021;Bessenay;2293.0
2017;69022;Bibost;575.0
2017;69023;Blacé;1631.0
2017;69024;Le Bois-d'Oingt;4037.0
2017;69026;Le Breuil;530.0
2017;69027;Brignais;11434.0
2017;69028;Brindas;6174.0
2017;69029;Bron;41543.0
2017;69030;Brullioles;816.0
2017;69031;Brussieu;1376.0
2017;69032;Bully;1982.0
2017;69033;Cailloux-sur-Fontaines;2722.0
2017;69034;Caluire-et-Cuire;43187.0
2017;69035;Cenves;391.0
2017;69036;Cercié;1128.0
