CODGEO;LIBGEO;NBMEN21;NBPERS21;NBUC21;PMIMP21;Q121;Q221;Q321;Q3_Q1;D121;D221;D321;D421;D621;D721;D821;D921;RD;S80S2021;GI21;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PAUT21
01099;Chazey-sur-Ain;674;1601;1083,9;s;s;27190;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01100;Cheignieu-la-Balme;74;129;99,0;s;s;21120;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01101;Chevillard;71;163;110,8;s;s;28230;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01102;Chevroux;399;1021;671,1;s;s;23150;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01103;Chevry;791;1996;1297,0;s;s;46460;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01104;Chézery-Forens;196;428;298,5;s;s;25980;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01105;Civrieux;730;1968;1264,4;s;s;29270;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01106;Cize;75;166;116,8;s;s;22470;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01107;Cleyzieu;64;138;95,0;s;s;23600;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01108;Coligny;554;1185;830,7;s;s;23240;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01109;Collonges;830;2182;1404,2;47,0;21240;34510;51160;29920;10490;17910;23930;29160;40230;48170;55740;69730;6,6;9,0;0,373;84,3;79,2;3,4;1,7;13,2;2,5
01110;Colomieu;69;155;107,5;s;s;20270;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01111;Conand;62;134;92,9;s;s;19910;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01112;Condamine;167;451;288,7;s;s;26120;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01113;Condeissiat;345;842;560,5;s;s;23120;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01114;Confort;239;588;388,7;s;s;30760;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01115;Confrançon;562;1373;915,0;s;s;24180;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01116;Contrevoz;212;474;329,0;s;s;23000;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01117;Conzieu;59;149;97,4;s;s;21990;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01118;Corbonod;456;1040;711,2;s;s;27450;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01121;Corlier;45;106;72,5;s;s;23270;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01123;Cormoranche-sur-Saône;462;1208;793,2;s;s;25650;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01124;Cormoz;315;734;496,6;s;s;23540;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01125;Corveissiat;278;633;435,1;s;s;24570;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01127;Courmangoux;227;509;353,8;s;s;23420;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01128;Courtes;134;297;206,1;s;s;22380;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01129;Crans;123;323;208,0;s;s;26670;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01130;Bresse Vallons;938;2433;1587,2;57,0;18690;23940;30880;12190;14230;17480;19620;21810;26540;29150;32270;38380;2,7;3,3;0,239;74,5;67,5;2,4;4,6;21,9;3,6
01133;Cressin-Rochefort;169;400;274,2;s;s;24100;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01134;Crottet;754;1856;1244,2;s;s;24150;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01135;Crozet;826;2155;1394,5;56,0;25750;46080;69690;43940;7760;20740;30240;39390;54400;64090;76130;95900;12,4;14,2;0,404;78,8;75,1;2,2;1,5;15,1;6,1
01136;Cruzilles-lès-Mépillat;376;989;644,6;s;s;25820;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01138;Culoz;1260;2671;1882,7;48,0;14710;21120;28140;13430;9810;13500;15790;18400;23750;26670;30120;37330;3,8;5,2;0,312;63,5;57,9;3,3;2,3;31,8;4,7
01139;Curciat-Dongalon;195;461;310,9;s;s;18970;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01140;Curtafond;306;769;509,4;s;s;26400;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01141;Cuzieu;181;412;286,9;s;s;25450;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01142;Dagneux;1858;4725;3114,5;64,0;17990;25490;33250;15260;11470;15830;19950;23060;28320;31450;36030;43440;3,8;4,8;0,291;73,8;68,2;2,4;3,2;20,9;5,3
01143;Divonne-les-Bains;4184;9608;6513,1;64,0;26750;50890;83740;56990;13120;22570;30850;40880;62200;76260;94050;122020;9,3;12,4;0,427;81,3;75,9;2,8;2,6;13,8;4,9
01145;Dompierre-sur-Veyle;514;1246;833,8;s;s;23910;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01146;Dompierre-sur-Chalaronne;166;425;281,8;s;s;24310;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01147;Domsure;221;523;353,6;s;s;20330;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01148;Dortan;802;1903;1289,0;s;s;23510;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01149;Douvres;455;1102;746,5;s;s;28540;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01150;Drom;92;231;154,0;s;s;24580;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01151;Druillat;518;1202;820,8;s;s;24920;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01152;Échallon;302;748;502,3;s;s;28300;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01153;Échenevex;775;2107;1349,8;63,0;31360;53180;77390;46030;16750;27050;36810;45280;63460;72320;85380;112090;6,7;9,0;0,377;79,7;74,1;2,7;2,9;16,5;3,8
01155;Évosges;63;137;95,5;s;s;23670;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01156;Faramans;321;875;561,0;s;s;26620;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01157;Fareins;977;2491;1644,0;62,0;20690;27620;36690;16000;14740;19170;21710;24620;31210;34570;38450;49810;3,4;4,5;0,300;67,9;61,9;2,4;3,6;22,9;9,2
01158;Farges;396;978;650,3;s;s;38270;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01159;Feillens;1500;3426;2354,8;58,0;18470;24150;31540;13070;13540;17000;19590;21810;26610;29640;34810;42040;3,1;4,0;0,273;66,1;60,3;2,2;3,6;26,7;7,2
01160;Ferney-Voltaire;3958;8148;5748,0;42,0;9890;25830;50570;40680;30;7000;12750;19280;34140;44800;58080;79370;2768,3;80,9;0,628;82,8;79,6;2,1;1,1;13,7;3,5
01162;Flaxieu;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01163;Foissiat;866;2072;1402,3;52,0;17950;23540;31080;13130;13410;16990;19010;21240;26240;29400;33020;40310;3,0;4,1;0,277;64,9;57,4;2,0;5,5;26,9;8,2
01165;Francheleins;592;1659;1057,8;s;s;26460;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01166;Frans;1012;2637;1727,2;65,0;20990;27250;36740;15760;14880;19360;22390;25050;30400;34800;38820;45520;3,1;4,2;0,284;72,4;65,6;2,9;3,9;19,8;7,8
01167;Garnerans;292;732;485,6;s;s;24820;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01169;Genouilleux;271;703;462,1;s;s;25310;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01170;Béard-Géovreissiat;382;1073;688,8;s;s;23930;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01171;Géovreisset;315;846;556,7;s;s;25480;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01173;Gex;5136;11369;7805,3;60,0;20630;37070;57830;37200;10070;17390;23700;30330;44480;52710;64260;83560;8,3;10,5;0,400;86,3;81,3;3,3;1,7;10,7;3,0
01174;Giron;70;157;108,5;s;s;25860;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01175;Gorrevod;348;839;568,5;s;s;22950;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01177;Grand-Corent;84;183;128,4;s;s;23940;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01179;Grièges;846;1961;1344,9;s;s;24350;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01180;Grilly;325;780;524,4;s;s;60920;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01181;Groissiat;447;1206;791,8;s;s;25590;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01183;Guéreins;572;1472;969,5;s;s;25380;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01184;Hautecourt-Romanèche;364;794;555,5;s;s;24410;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
