CODGEO;LIBGEO;NBMENFISC12;NBPERSMENFISC12;MED12;PIMP12;TP6012;TP60AGE112;TP60AGE212;TP60AGE312;TP60AGE412;TP60AGE512;TP60AGE612;TP60TOL112;TP60TOL212;PR12;PRA12;PTSAC12;PBEN12;PPEN12;PPAT12;PPSOC12;PPFAM12;PPMINI12;PPLOGT12;PIMPOT12;RD12;D112;D912
01156;Faramans;282;784.0;22873.8;;;;;;;;;;;;;;;;;;;;;;;;
01157;Fareins;803;2095.5;24135.5;76;5;;3;8;7;3;;4;13;100.0;75.1;68.8;6.3;22.9;18.0;2.5;1.9;0.3;0.4;-18.5;2.8;14354.0;40895.8
01158;Farges;333;857.0;31045.6;;;;;;;;;;;;;;;;;;;;;;;;
01159;Feillens;1354;3288.0;20658.0;70;6;5;5;8;4;4;11;5;9;100.0;74.6;68.6;6.0;22.4;15.1;3.3;1.9;0.6;0.8;-15.4;2.7;13137.5;34830.0
01160;Ferney-Voltaire;3489;7431.5;26574.4;49;21;17;20;26;24;19;13;17;24;100.0;85.2;83.3;1.9;19.3;10.1;2.0;0.8;0.5;0.7;-16.6;10.9;6390.0;69885.6
01162;Flaxieu;;;;;;;;;;;;;;;;;;;;;;;;;;;
01163;Foissiat;793;1960.5;19955.2;;;;;;;;;;;;;;;;;;;;;;;;
01165;Francheleins;526;1539.0;22258.8;;;;;;;;;;;;;;;;;;;;;;;;
01166;Frans;774;2168.0;23755.2;80;4;;9;4;2;4;;3;9;100.0;77.9;73.4;4.5;22.5;13.3;2.8;1.8;0.5;0.4;-16.5;2.5;14745.3;37318.7
01167;Garnerans;254;693.0;21735.0;;;;;;;;;;;;;;;;;;;;;;;;
01169;Genouilleux;216;605.5;22553.0;;;;;;;;;;;;;;;;;;;;;;;;
01170;Béard-Géovreissiat;341;1037.0;20255.4;;;;;;;;;;;;;;;;;;;;;;;;
01171;Géovreisset;326;962.5;21438.7;;;;;;;;;;;;;;;;;;;;;;;;
01172;Germagnat;64;150.0;18724.0;;;;;;;;;;;;;;;;;;;;;;;;
01173;Gex;4376;10278.0;29900.6;65;12;12;9;13;15;11;8;8;17;100.0;96.6;93.8;2.8;11.2;8.2;1.9;1.0;0.4;0.6;-17.9;6.1;10834.8;65900.0
01174;Giron;70;168.0;18951.5;;;;;;;;;;;;;;;;;;;;;;;;
01175;Gorrevod;328;825.5;19430.0;;;;;;;;;;;;;;;;;;;;;;;;
01176;Le Grand-Abergement;52;111.0;20267.3;;;;;;;;;;;;;;;;;;;;;;;;
01177;Grand-Corent;74;171.0;22345.4;;;;;;;;;;;;;;;;;;;;;;;;
01179;Grièges;794;1956.5;20410.0;;;;;;;;;;;;;;;;;;;;;;;;
01180;Grilly;281;723.5;36543.0;;;;;;;;;;;;;;;;;;;;;;;;
01181;Groissiat;422;1205.0;21929.0;;;;;;;;;;;;;;;;;;;;;;;;
01182;Groslée;147;344.5;19507.3;;;;;;;;;;;;;;;;;;;;;;;;
01183;Guéreins;514;1394.5;22053.8;;;;;;;;;;;;;;;;;;;;;;;;
01184;Hautecourt-Romanèche;342;805.0;20140.4;;;;;;;;;;;;;;;;;;;;;;;;
01185;Hauteville-Lompnes;1552;3000.5;19712.4;63;10;16;11;14;8;8;9;5;18;100.0;65.3;59.9;5.4;33.0;10.6;5.5;1.6;2.1;1.8;-14.4;2.9;11717.0;33672.7
01186;Hostiaz;;;;;;;;;;;;;;;;;;;;;;;;;;;
01187;Hotonnes;132;313.5;18260.7;;;;;;;;;;;;;;;;;;;;;;;;
01188;Illiat;225;629.5;20822.4;;;;;;;;;;;;;;;;;;;;;;;;
01189;Injoux-Génissiat;421;1097.0;23832.0;;;;;;;;;;;;;;;;;;;;;;;;
01190;Innimond;42;100.0;20028.1;;;;;;;;;;;;;;;;;;;;;;;;
01191;Izenave;73;175.5;20147.1;;;;;;;;;;;;;;;;;;;;;;;;
01192;Izernore;910;2391.5;19972.7;70;10;;13;9;8;5;;4;16;100.0;80.1;77.3;2.8;18.9;10.8;4.6;2.9;0.6;1.1;-14.4;2.5;11996.3;30574.5
01193;Izieu;93;208.5;20157.3;;;;;;;;;;;;;;;;;;;;;;;;
01194;Jassans-Riottier;2411;5978.0;20627.8;69;9;16;10;11;6;6;7;4;18;100.0;75.6;71.7;3.9;25.4;9.5;4.5;2.4;0.9;1.2;-15.0;2.8;12114.5;33913.0
01195;Jasseron;585;1556.5;22398.7;;;;;;;;;;;;;;;;;;;;;;;;
01196;Jayat;416;1070.0;20276.2;;;;;;;;;;;;;;;;;;;;;;;;
01197;Journans;141;342.5;23834.3;;;;;;;;;;;;;;;;;;;;;;;;
01198;Joyeux;91;252.0;23016.7;;;;;;;;;;;;;;;;;;;;;;;;
01199;Jujurieux;870;2046.5;19292.0;62;10;;13;7;8;10;;5;20;100.0;73.0;68.7;4.3;26.0;9.8;4.9;2.8;0.9;1.2;-13.7;2.7;11895.9;32270.0
01200;Labalme;71;192.5;17689.5;;;;;;;;;;;;;;;;;;;;;;;;
01202;Lagnieu;2963;6954.5;20030.5;67;10;12;11;8;12;9;7;4;18;100.0;73.4;68.9;4.5;26.6;10.2;4.6;2.4;0.9;1.3;-14.8;2.9;11938.0;34314.0
01203;Laiz;455;1206.5;21011.7;;;;;;;;;;;;;;;;;;;;;;;;
01204;Lalleyriat;93;260.0;19469.5;;;;;;;;;;;;;;;;;;;;;;;;
01205;Lancrans;409;995.5;22236.0;;;;;;;;;;;;;;;;;;;;;;;;
01206;Lantenay;107;273.0;21806.7;;;;;;;;;;;;;;;;;;;;;;;;
01207;Lapeyrouse;106;302.0;23540.0;;;;;;;;;;;;;;;;;;;;;;;;
01208;Lavours;66;142.0;20979.3;;;;;;;;;;;;;;;;;;;;;;;;
01209;Léaz;238;608.5;24234.0;;;;;;;;;;;;;;;;;;;;;;;;
01210;Lélex;98;207.5;18585.4;;;;;;;;;;;;;;;;;;;;;;;;
01211;Lent;564;1390.0;21107.1;;;;;;;;;;;;;;;;;;;;;;;;
01212;Lescheroux;294;740.5;18575.0;;;;;;;;;;;;;;;;;;;;;;;;
01213;Leyment;455;1246.5;21011.1;;;;;;;;;;;;;;;;;;;;;;;;
01214;Leyssard;68;150.0;21350.8;;;;;;;;;;;;;;;;;;;;;;;;
